,coarse,fine,english,indo
257,ENTY,veh,What was the name of Aristotle Onassis 's yacht ?,Siapa nama kapal pesiar Aristoteles Onassis?
258,ENTY,veh,What was the name of Robert Fulton 's most famous steamboat ?,Siapa nama kapal uap Robert Fulton yang paling terkenal?
259,ENTY,veh,What 's the name of Jacques Cousteau 's research ship ?,Apa nama kapal penelitian Jacques Cousteau?
260,NUM,volsize,How big is Australia ?,Seberapa besar Australia?
261,NUM,volsize,What is the acreage of the Chappellet vineyard ?,Apa luas kebun anggur Chappellet?
262,NUM,weight,"What is the recommended weight of a 15 year-old male that is 5 , 6 ?","Berapa berat yang direkomendasikan dari seorang pria berusia 15 tahun yaitu 5, 6?"
263,NUM,weight,What do Englishmen weigh themselves in ?,Di mana orang Inggris menimbang diri mereka sendiri?
264,ENTY,word,What 's the international radio code word for the letter B ?,Apa kata kode radio internasional untuk huruf B?
265,ENTY,word,What English word has the most letters ?,Kata bahasa Inggris apa yang paling banyak mengandung huruf?
266,ENTY,word,What is another word for diet ?,Apa kata lain untuk diet?
0,ABBR,abb,What is the acronym for the National Bureau of Investigation ?,Apa akronim untuk Biro Investigasi Nasional?
1,ABBR,abb,What is the correct way to abbreviate cc. at the bottom of a business letter ?,Apa cara yang benar untuk menyingkat cc.???di bagian bawah surat bisnis?
2,ENTY,animal,What kind of animals were in the Paleozoic era ?,Hewan seperti apa yang ada di era Paleozoikum?
3,ENTY,animal,"In Hemingway 's  Old Man and the Sea ,  what kind of fish does the old man catch ?","Di Hemingway's Old Man and the Sea, jenis ikan apa yang ditangkap oleh orang tua itu?"
4,ENTY,animal,What was the name of Baretta 's cockatoo ?,Siapa nama kakatua Baretta?
5,ENTY,animal,What two animals are specifically mentioned as being in Noah 's Ark ?,Apa dua binatang yang secara khusus disebutkan berada di Bahtera Nuh?
6,ENTY,animal,What are the two largest birds on earth ?,Apa dua burung terbesar di dunia?
7,ENTY,body,What is the only gland in humans that can regenerate itself ?,Apa satu-satunya kelenjar pada manusia yang bisa beregenerasi sendiri?
8,ENTY,body,Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,Kaki mana yang digunakan kucing untuk bergerak dengan kaki depan kirinya saat berjalan - kaki belakang kiri atau kanan belakangnya?
9,LOC,city,McCarren Airport is located in what city ?,Bandara McCarren terletak di kota apa?
10,LOC,city,What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,Apa ibu kota dari dua negara besar yang menempati semenanjung Iberia di Eropa?
11,LOC,city,What city was Martin Luther King Jr. assassinated in ?,Di kota mana Martin Luther King Jr dibunuh?
12,LOC,city,What 's the capital of Monaco ?,Apa ibukota Monako?
13,LOC,city,What city was Bobby Kennedy assassinated in ?,Di kota mana Bobby Kennedy dibunuh?
14,LOC,city,Which city in China has the largest number of foreign financial companies ?,Kota mana di Cina yang memiliki jumlah perusahaan keuangan asing terbesar?
15,NUM,code,What phone number can I call to have a tree planted ?,Nomor telepon apa yang dapat saya hubungi untuk menanam pohon?
16,NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
17,ENTY,color,What color were Ernest Hemingway 's eyes ?,Apa warna mata Ernest Hemingway?
18,ENTY,color,What is the predominant color of the Tab label ?,Apa warna dominan dari label Tab?
19,ENTY,color,What color is an Arctic fox in winter ?,Apa warna rubah Kutub Utara di musim dingin?
20,ENTY,color,What color is Mr. Spock 's blood ?,Apa warna darah Tn. Spock?
21,NUM,count,How many miles is it to Ohio from North Carolina ?,Berapa mil ke Ohio dari North Carolina?
22,NUM,count,How many hands does Bjorn Borg use when hitting his forehand ?,Berapa banyak tangan yang digunakan Bjorn Borg ketika mengenai pukulan forehandnya?
23,NUM,count,How many consecutive baseball games did Lou Gehrig play ?,Berapa banyak pertandingan baseball berturut-turut yang dimainkan Lou Gehrig?
24,NUM,count,How many stars are there on the Soviet Union 's flag ?,Berapa banyak bintang yang ada di bendera Uni Soviet?
25,NUM,count,How many minutes were there on the original GE College Bowl clock ?,Berapa menit ada di jam GE College Bowl asli?
26,NUM,count,What is the chromosome number of an elephant ?,Berapa jumlah kromosom gajah?
27,NUM,count,How many corners does a spritsail have ?,Berapa banyak sudut yang dimiliki spritsail?
28,NUM,count,How many years did it take James Joyce to write Ulysses ?,Berapa tahun yang dibutuhkan James Joyce untuk menulis Ulysses?
29,NUM,count,How many stars are there in Big Dipper ?,Berapa banyak bintang di Big Dipper?
30,NUM,count,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?","Berapa megawatt yang akan dihasilkan oleh proyek pembangkit listrik di Indonesia, yang dibangun oleh sebuah konsorsium yang dipimpin oleh Mission Energy AS?"
31,NUM,count,How many varieties of apple are there ?,Ada berapa varietas apel?
32,NUM,count,How many astronauts have been on the moon ?,Berapa banyak astronot di bulan?
33,NUM,count,"How many miles is it from London , England to Plymouth , England ?","Berapa mil dari London, Inggris ke Plymouth, Inggris?"
34,NUM,count,How many grooves are on a dime ?,Berapa banyak alur yang ada dalam sepeser pun?
35,NUM,count,How many counties are in Indiana ?,Berapa banyak kabupaten di Indiana?
36,NUM,count,How many years do fossils take to form ?,Berapa tahun fosil terbentuk?
37,NUM,count,Approximately how many students are enrolled at the University of Massachusetts ?,Kira-kira berapa banyak siswa yang terdaftar di University of Massachusetts?
38,LOC,country,What country did the ancient Romans refer to as Hibernia ?,Negara apa yang disebut orang Romawi kuno sebagai Hibernia?
39,LOC,country,What is a country that starts with the letter x ?,Apa negara yang dimulai dengan huruf x?
40,LOC,country,Which Latin American country is the largest ?,Negara Amerika Latin manakah yang terbesar?
41,LOC,country,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?","Negara mana yang pertama kali menggunakan pesawat terbang sebagai senjata perang, melawan Turki di Libya?"
42,LOC,country,What country was Sir Edmund Hillary born in ?,Di negara mana Sir Edmund Hillary dilahirkan?
43,LOC,country,What two countries ' coastlines border the Bay of Biscay ?,Apa garis pantai kedua negara yang membatasi Teluk Biscay?
44,LOC,country,What country received all the Nobel Prizes awarded in 1976 ?,Negara apa yang menerima semua Hadiah Nobel yang diberikan pada tahun 1976?
45,ENTY,cremat,What was the name of that popular song the Creeps sang ?,Apa nama lagu populer yang dinyanyikan Creeps?
46,ENTY,cremat,What Nevil Shute novel is about the doomed survivors of a nuclear war ?,Apa novel Nevil Shute tentang korban selamat dari perang nuklir?
47,ENTY,cremat,What is the first book of the Old Testament ?,Apakah buku pertama Perjanjian Lama?
48,ENTY,cremat,What was Mel Gibson 's first movie ?,Apa film pertama Mel Gibson?
49,ENTY,cremat,What Homerian epic chronicles events toward the end of the Trojan Wars ?,Apa peristiwa kronik epik Homerian menjelang akhir Perang Troya?
50,ENTY,cremat,What is the name of Jamiroquai new album ?,Apa nama album baru Jamiroquai?
51,ENTY,cremat,What TV series features the adventures of a married couple named Jonathan and Jennifer ?,Serial TV apa yang menceritakan petualangan pasangan menikah bernama Jonathan dan Jennifer?
52,ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
53,NUM,date,When did the last Americans leave Vietnam ?,Kapan orang Amerika terakhir meninggalkan Vietnam?
54,NUM,date,What day of the week sees the most fatal car accidents ?,Hari apa dalam seminggu menyaksikan kecelakaan mobil paling fatal?
55,NUM,date,What year was the setting for American Graffiti ?,Tahun berapa pengaturan untuk Graffiti Amerika?
56,NUM,date,When did Hitler come to power in Germany ?,Kapan Hitler berkuasa di Jerman?
57,NUM,date,When was the first steel mill in the United States built ?,Kapan pabrik baja pertama di Amerika Serikat dibangun?
58,NUM,date,When was Microsoft established ?,Kapan Microsoft didirikan?
59,NUM,date,When is Bastille Day ?,Kapan Hari Bastille?
60,NUM,date,What year did Rossetti paint  Beata Beatrix  ?,Tahun berapa Rossetti melukis Beata Beatrix?
61,NUM,date,When was Calypso music invented ?,Kapan musik Calypso ditemukan?
62,NUM,date,"When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?","Kapan Presiden Kennedy, Lee Harvey Oswald, dan Jack Ruby semua mati?"
63,DESC,def,What is the definition of ` graphic details ' ?,Apa definisi `detail grafis '?
64,DESC,def,What is thalassemia ?,Apa itu talasemia?
65,DESC,def,What is a pyrotechnic display ?,Apa itu tampilan piroteknik?
66,DESC,def,What does  Semper Fidelis  mean ?,Apa yang dimaksud dengan Sempre Fidelis?
67,DESC,def,What is Java ?,Apa itu Jawa ?
68,DESC,def,What is commonly considered the fifth sense ?,Apa yang biasanya dianggap sebagai indra kelima?
69,DESC,def,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,Kategori apa yang ditunjukkan oleh warna merah muda dalam Trivial Pursuit Baby Boomer Edition?
70,DESC,def,What is titanium ?,Apa itu titanium?
71,DESC,def,What does e=mc2 mean ?,Apa yang dimaksud dengan e = mc2?
72,DESC,def,What 's the meaning of the zoological term ruminant ?,Apa arti dari istilah zoologi ruminansia?
73,DESC,def,What is June 's birthstone ?,Apa itu batu kelahiran Juni?
74,DESC,desc,What do you do when your mouse is n't working as fast as it 's supposed to ?,Apa yang Anda lakukan saat mouse Anda tidak berfungsi secepat yang seharusnya?
75,DESC,desc,What is the origin of the name ` Scarlett ' ?,Apa asal usul nama `Scarlett '?
76,DESC,desc,What happened in the Long March ?,Apa yang terjadi di Long March?
77,DESC,desc,What is the difference between jazz and blues ?,Apa perbedaan antara jazz dan blues?
78,DESC,desc,"What are some fun things to do in Cozumel , Mexico for teenagers ?","Apa saja hal menyenangkan yang bisa dilakukan di Cozumel, Meksiko untuk remaja?"
79,DESC,desc,What is the difference between Neoclassical art and Romanticism art ?,Apa perbedaan antara seni Neoklasik dan seni Romantisisme?
80,DESC,desc,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?","Apa yang harus saya lakukan untuk membawa anjing saya tinggal di Dominika, Hindia Barat selama setahun?"
81,DESC,desc,What effects do nitrates have on the environment ?,Apa efek nitrat terhadap lingkungan?
82,DESC,desc,"What is the origin of the midwest slang , ` you 're darn tootin ' ?","Apa asal usul bahasa gaul midwest, `you are darn tootin '?"
83,DESC,desc,What is the daily requirement of folic acid for an expectant mother ?,Berapa kebutuhan asam folat harian untuk ibu hamil?
84,DESC,desc,What does an emperor do ?,Apa yang dilakukan seorang kaisar?
85,HUM,desc,What information can you tell me about actor James Cromwell ?,Informasi apa yang bisa Anda ceritakan tentang aktor James Cromwell?
86,HUM,desc,Who is Charles Lindbergh ?,Siapakah Charles Lindbergh?
87,HUM,desc,Who was William Henry Harrison ?,Siapakah William Henry Harrison?
88,HUM,desc,Who is Samuel Pickering ?,Siapakah Samuel Pickering?
89,ENTY,dismed,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?","Anestesi apa yang diperbolehkan oleh Ratu Victoria untuk kelahiran anak ketujuh, pada tahun 1853?"
90,ENTY,dismed,Which infectious disease is the world 's deadliest ?,Penyakit menular manakah yang paling mematikan di dunia?
91,ENTY,dismed,What is the medical term for cancer of the blood ?,Apa istilah medis untuk kanker darah?
92,ENTY,dismed,What is the fear of cockroaches called ?,Apa yang disebut takut dengan kecoak?
93,ENTY,dismed,What is chronic constipation a symptom of ?,Apa itu gejala sembelit kronis?
94,ENTY,dismed,What is a fear of failure ?,Apa itu ketakutan akan kegagalan?
95,NUM,dist,What is the world record for the longest hair ?,Apa rekor dunia untuk rambut terpanjang?
96,NUM,dist,How far can you see ?,Seberapa jauh Anda bisa melihat?
97,NUM,dist,What is the wingspan of a condor ?,Berapa lebar sayap condor?
98,ENTY,event,What was Franklin Roosevelt 's program for economic recovery called during the Great Depression ?,Apa yang disebut program Franklin Roosevelt untuk pemulihan ekonomi selama Depresi Hebat?
99,ENTY,event,What is the name of the largest water conservancy project in China ?,Apa nama proyek pemeliharaan air terbesar di Cina?
100,ENTY,event,What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?,Apa nama usaha Hitler yang gagal untuk menggulingkan pemerintah Bavaria di Munich pada tahun 1923?
101,ENTY,event,What was the longest war in U.S. history ?,Apa perang terpanjang dalam sejarah AS?
102,ABBR,exp,What does NAFTA stand for ?,Apa kepanjangan dari NAFTA?
103,ABBR,exp,What does INRI stand for when used on Jesus ' cross ?,Apa arti INRI yang digunakan pada salib Yesus?
104,ENTY,food,What 's the traditional drink at the Kentucky Derby ?,Apa minuman tradisional di Kentucky Derby?
105,ENTY,food,What beer 's name is translated as  lion brew  ?,Apa nama bir yang diterjemahkan sebagai minuman singa?
106,ENTY,food,What type of food makes you fat ?,Jenis makanan apa yang membuat Anda gemuk?
107,ENTY,food,What was the first ready-to-eat breakfast cereal ?,Apa sereal sarapan siap saji pertama?
108,ENTY,food,What foods contain the most protein ?,Makanan apa yang mengandung protein terbanyak?
109,ENTY,food,What kind of meat is Fray Bentos synonymous with ?,Daging jenis apa yang identik dengan Fray Bentos?
110,HUM,gr,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,Siapakah suku nomad yang berburu dan mengumpulkan suku Gurun Kalahari di Afrika?
111,HUM,gr,What was the previous name for the Commonwealth ?,Apa nama sebelumnya untuk Persemakmuran?
112,HUM,gr,What major airline has the best safety record in the world ?,Apa maskapai besar yang memiliki catatan keselamatan terbaik di dunia?
113,HUM,gr,Which company created the Internet browser Mosaic ?,Perusahaan mana yang membuat browser Internet Mosaic?
114,HUM,gr,What NFL team did Vince Lombardi end his coaching career with ?,Dengan tim NFL apa Vince Lombardi mengakhiri karier kepelatihannya?
115,HUM,gr,What is the best art and design school in the world ?,Apa sekolah seni dan desain terbaik di dunia?
116,HUM,gr,What school does Tom attend in Tom Brown 's School Days ?,Sekolah apa yang dihadiri Tom di Days School Tom Brown?
117,HUM,gr,What ISPs exist in the Caribbean ?,ISP apa yang ada di Karibia?
118,HUM,gr,"Who manufactures the software ,  PhotoShop  ?","Siapa yang memproduksi perangkat lunak, PhotoShop?"
119,HUM,ind,Who starred in Singing in the Rain and The Singing Nun ?,Siapa yang membintangi Singing in the Rain dan The Singing Nun?
120,HUM,ind,What was the name of Darth Vader 's son ?,Siapa nama putra Darth Vader?
121,HUM,ind,Which of the following people is not associated with Andy Warhol ?,Manakah dari orang-orang berikut yang tidak terkait dengan Andy Warhol?
122,HUM,ind,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,Apa nama panggilan dari selebaran terkenal yang keliru terbang ke Irlandia alih-alih ke Los Angeles?
123,HUM,ind,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,Siapa lelaki di belakang babi itu ??? lelaki yang menarik tali dan berbicara untuk Miss Piggy?
124,HUM,ind,Who seized power from Milton Obote in 1971 ?,Siapa yang merebut kekuasaan dari Milton Obote pada tahun 1971?
125,HUM,ind,What was the name of the first Russian astronaut to do a spacewalk ?,Apa nama astronot Rusia pertama yang melakukan spacewalk?
126,HUM,ind,Who was Charles Lindbergh 's wife ?,Siapa istri Charles Lindbergh?
127,HUM,ind,Who was the last U.S. president to reinstate Selective Service registration ?,Siapa presiden AS terakhir yang mengembalikan pendaftaran Layanan Selektif?
128,HUM,ind,What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 ?,Rekan ceria apa yang mendapatkan kode ZIP 9971 dari Layanan Pos AS pada tahun 1963?
129,HUM,ind,What famous comedian recently tried without success to revive the play ?,Komedian terkenal apa yang baru-baru ini mencoba tanpa berhasil menghidupkan kembali permainan?
130,HUM,ind,What well-known TV talk show host was a lay preacher by the time he was seventeen ?,Pembawa acara bincang-bincang TV terkenal apa yang menjadi pengkhotbah awam pada saat ia berusia tujuh belas tahun?
131,HUM,ind,Who leads the star ship Enterprise in Star Trek ?,Siapa yang memimpin perusahaan kapal berbintang di Star Trek?
132,HUM,ind,What was Al Capone 's nickname ?,Apa nama panggilan Al Capone?
133,HUM,ind,Who invented the road traffic cone ?,Siapa yang menemukan kerucut lalu lintas jalan?
134,HUM,ind,Who won the Battle of Gettysburg ?,Siapa yang memenangkan Pertempuran Gettysburg?
135,HUM,ind,Who was the author of the book about computer hackers called  The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage  ?,Siapa penulis buku tentang peretas komputer bernama The Cuckoo's Egg: Melacak Mata-Mata Melalui Labirin Komputer Spionase?
136,HUM,ind,Who directed  Jaws  ?,Siapa yang mengarahkan Rahang?
137,HUM,ind,Who is behind the name of the Harvey Wallbanger drink ?,Siapa di balik nama minuman Harvey Wallbanger?
138,HUM,ind,Who is the Greek God of the Sea ?,Siapakah Dewa Laut Yunani?
139,HUM,ind,Who portrayed The Cowardly Lion in The Wizard of Oz ?,Siapa yang memerankan Si Pengecut di The Wizard of Oz?
140,HUM,ind,Who was the prophet of the Muslim people ?,Siapakah nabi orang-orang Muslim?
141,HUM,ind,Who was President of Afghanistan in 1994 ?,Siapakah Presiden Afghanistan pada tahun 1994?
142,HUM,ind,Who commanded the French forces at the Battle of Orleans ?,Siapa yang memimpin pasukan Prancis di Pertempuran Orleans?
143,HUM,ind,What athlete makes the most money from sports merchandise sales ?,Atlet apa yang menghasilkan uang paling banyak dari penjualan barang olahraga?
144,HUM,ind,"Who played for the Chicago Bears , Houston Oilers and Oakland Raiders in a 26-year pro football career ?","Siapa yang bermain untuk Chicago Bears, Houston Oilers, dan Oakland Raiders dalam karier sepakbola pro 26 tahun?"
145,HUM,ind,What is the name of the woman who was with John Belushi when he died ?,Apa nama wanita yang bersama John Belushi saat dia meninggal?
146,HUM,ind,"Whose funeral train traveled from Washington D.C. to Springfield , Illinois ?","Kereta pemakaman siapa yang bepergian dari Washington DC ke Springfield, Illinois?"
147,HUM,ind,Who followed Caesar ?,Siapa yang mengikuti Caesar?
148,HUM,ind,Who was the first coach of the Cleveland Browns ?,Siapa pelatih pertama dari Cleveland Browns?
149,ENTY,instru,What musical instrument did Sherlock Holmes play ?,Alat musik apa yang dimainkan Sherlock Holmes?
150,ENTY,lang,Which language has the most words ?,Bahasa mana yang memiliki kata paling banyak?
151,ENTY,lang,What is the only modern language that capitalizes its singular first-person pronoun ?,Apa satu-satunya bahasa modern yang menggunakan kata ganti orang pertama tunggal?
152,ENTY,letter,What 's the largest letter in Salvador Dali 's signature ?,Apa surat terbesar di tanda tangan Salvador Dali?
153,ENTY,letter,What vowel do all Esperanto nouns end in ?,Vokal apa yang dilakukan oleh semua nomina Esperanto?
154,DESC,manner,How do you tell your parents you are dating an older man ?,Bagaimana Anda memberi tahu orang tua bahwa Anda berkencan dengan pria yang lebih tua?
155,DESC,manner,How do you address a Chinese person ?,Bagaimana Anda berbicara dengan orang Cina?
156,DESC,manner,How do you become a dentist ?,Bagaimana Anda menjadi dokter gigi?
157,DESC,manner,How did the jack-o '-lantern get it 's name ?,Bagaimana jack-o '-lantern mendapatkan nama itu?
158,DESC,manner,How do you write MLA style bibliographies for an Internet source ?,Bagaimana Anda menulis bibliografi gaya MLA untuk sumber Internet?
159,DESC,manner,How do you find oxidation numbers ?,Bagaimana Anda menemukan bilangan oksidasi?
160,DESC,manner,How do I change a file from an ART file to a JPEG or Bitmap file ?,Bagaimana cara mengubah file dari file ART ke file JPEG atau Bitmap?
161,DESC,manner,How do chickens have baby chicks ?,Bagaimana ayam memiliki anak ayam?
162,DESC,manner,How do they raise the cranes when building high-rise buildings ?,Bagaimana mereka mengangkat crane ketika membangun gedung-gedung bertingkat tinggi?
163,DESC,manner,How do I sing like Elvis Presley ?,Bagaimana cara saya bernyanyi seperti Elvis Presley?
164,DESC,manner,How do you determine if a computer monitor has an SVGA adapter ?,Bagaimana Anda menentukan apakah monitor komputer memiliki adaptor SVGA?
165,NUM,money,How much money does each player get at the beginning of the game in Monopoly ?,Berapa banyak uang yang didapat setiap pemain di awal permainan di Monopoli?
166,NUM,money,What is the exchange rate between England and the U.S. ?,Berapa nilai tukar antara Inggris dan AS?
167,NUM,money,How much money did the Marcos steal from their country ?,Berapa banyak uang yang dicuri Marcos dari negara mereka?
168,NUM,money,How much money does a back injury lawsuit get ?,Berapa banyak uang yang didapat dari gugatan cedera punggung?
169,NUM,money,How much does one ton of cement cost ?,Berapa biaya satu ton semen?
170,LOC,mount,Where do people mountain climb in Nepal ?,Di mana orang-orang mendaki gunung di Nepal?
171,LOC,mount,What mountain range is traversed by the highest railroad in the world ?,Pegunungan apa yang dilalui oleh jalur kereta api tertinggi di dunia?
172,LOC,mount,What mountain range marks the border of France and Spain ?,Pegunungan apa yang menandai perbatasan Prancis dan Spanyol?
173,NUM,ord,What chapter of the Bible has the most verses ?,Surat berapa pada alkitab yang memiliki ayat terbanyak?
174,ENTY,other,What 's the second-most-used murder weapon in the U.S. ?,Apa senjata pembunuhan paling banyak digunakan di AS?
175,ENTY,other,What does a spermologer collect ?,Apa yang dikumpulkan oleh seorang spermologer?
176,ENTY,other,Name of King Arthur 's sword ?,Nama pedang Raja Arthur?
177,ENTY,other,What scale measures earthquakes ?,Skala apa yang mengukur gempa bumi?
178,ENTY,other,What is Bella Abzug 's sartorial trademark ?,Apa merek dagang busana Bella Abzug?
179,ENTY,other,"What is it that walks on four legs , then on two legs , then on three ?","Apa yang berjalan dengan empat kaki, lalu dengan dua kaki, lalu dengan tiga kaki?"
180,ENTY,other,What is widely used to detect birth defects ?,Apa yang banyak digunakan untuk mendeteksi cacat lahir?
181,LOC,other,What island group is Guadalcanal a part of ?,Kelompok pulau apa yang merupakan bagian dari Guadalkanal?
182,LOC,other,What are some good fractal web sites ?,Apa sajakah situs web fraktal yang bagus?
183,LOC,other,Where do hyenas live ?,Di mana hyena tinggal?
184,LOC,other,Where is the Kalahari desert ?,Di mana gurun Kalahari?
185,LOC,other,What is the largest lake in North America ?,Apa danau terbesar di Amerika Utara?
186,LOC,other,What are the names of the tourist attractions in Reims ?,Apa nama tempat wisata di Reims?
187,LOC,other,Where 's the Petrified Forest ?,Di mana Hutan yang Membatu?
188,LOC,other,Where could I go to take a ride on a steam locomotive ?,Di mana saya bisa pergi naik lokomotif uap?
189,LOC,other,Where is the Rose Bowl played ?,Di mana Rose Bowl dimainkan?
190,LOC,other,Where are the Haversian canals ?,Di mana kanal Haversian?
191,LOC,other,What are the largest libraries in the US ?,Apa perpustakaan terbesar di AS?
192,LOC,other,Where is the bridge over the river Kwai ?,Di mana jembatan di atas sungai Kwai?
193,LOC,other,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,Di mana saya dapat menemukan informasi tentang orang-orang Indian Narragansett dan suku-suku lain di Rhode Island?
194,LOC,other,Where is the Isle of Man ?,Di mana Isle of Man?
195,LOC,other,What are some mythology websites ?,Apa sajakah situs web mitologi?
196,LOC,other,Where was George Washington born ?,Di mana George Washington lahir?
197,LOC,other,In what area of the world was the Six Day War fought ?,Di wilayah dunia manakah Perang Enam Hari itu berlangsung?
198,LOC,other,Where are the tropical rain forest distributions ?,Di mana distribusi hutan hujan tropis?
199,LOC,other,Where is Santa Lucia ?,Di mana Santa Lucia?
200,LOC,other,What sea did the Romans call mare nostrum ?,Laut apa yang disebut orang Romawi mare nostrum?
201,LOC,other,Where did the myth of Santa Claus originate ?,Dari mana mitos Santa Claus itu berasal?
202,NUM,other,What was the number of people that Randy Steven Craft was convicted of killing ?,Berapa jumlah orang yang dinyatakan bersalah membunuh Randy Steven Craft?
203,NUM,other,What 's a perfect score in a gymnastics exercise ?,Apa nilai sempurna dalam latihan senam?
204,NUM,other,What amount of folic acid should an expectant mother take daily ?,Berapa jumlah asam folat yang harus dikonsumsi seorang ibu hamil setiap hari?
205,NUM,perc,What percent of world 's fresh water is found in Canada ?,Berapa persen air tawar dunia ditemukan di Kanada?
206,NUM,perc,What percentage of the silver production is done by independent silversmiths ?,Berapa persentase produksi perak yang dilakukan oleh pengrajin perak independen?
207,NUM,perc,What is the current unemployment rate in the U.S. ?,Berapa tingkat pengangguran saat ini di AS?
208,NUM,period,How long was the longest hiccup attack ?,Berapa lama serangan cegukan terpanjang?
209,NUM,period,What is the recomended age to switch a child from a crib to a bed ?,Berapa usia yang direkomendasikan untuk mengganti anak dari buaian ke tempat tidur?
210,NUM,period,How long does it take different materials to decompose ?,Berapa lama dibutuhkan bahan yang berbeda untuk terurai?
211,NUM,period,How long does cocaine stay in your system ?,Berapa lama kokain bertahan dalam sistem Anda?
212,ENTY,plant,What kind of tree graces Lebanon 's flag ?,Jenis pohon apa yang menghiasi bendera Libanon?
213,ENTY,plant,What plant has the largest seed ?,Tanaman apa yang memiliki biji terbesar?
214,ENTY,product,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,Merek jeans apa yang Calvin Klein akui dalam sebuah wawancara tahun 1984 yang dia rasa lebih nyaman dipakai?
215,ENTY,product,What operating system do IBM-compatible machines use ?,Sistem operasi apa yang digunakan oleh mesin yang kompatibel dengan IBM?
216,ENTY,product,What product did William Horlick discover and produce ?,Produk apa yang ditemukan dan diproduksi William Horlick?
217,ENTY,product,What is the best selling computer model ever ?,Apa model komputer terlaris yang pernah ada?
218,DESC,reason,What is the function of the appendix ?,Apa fungsi dari lampiran?
219,DESC,reason,What causes rust ?,Apa yang menyebabkan karat?
220,DESC,reason,What causes asthma ?,Apa yang menyebabkan asma?
221,DESC,reason,What causes an earthquake ?,Apa yang menyebabkan gempa bumi?
222,DESC,reason,Why is Chicago named Chicago ?,Mengapa Chicago bernama Chicago?
223,DESC,reason,What is the purpose of the SysRq key on my computer keyboard ?,Apa tujuan dari tombol SysRq pada keyboard komputer saya?
224,DESC,reason,What makes a tornado turn ?,Apa yang membuat tornado berputar?
225,DESC,reason,What problems contributed to the high failure rate of Plains farmers in the 1800s ?,Masalah apa yang menyebabkan tingginya tingkat kegagalan petani Plains di tahun 1800-an?
226,DESC,reason,Why do some clothing labels say  Use a nonchlorine bleach  ?,Mengapa beberapa label pakaian mengatakan Gunakan pemutih nonklorin?
227,DESC,reason,Why does it snow ?,Mengapa salju turun?
228,DESC,reason,Why do rooftops give off steam after a big rainstorm ?,Mengapa atap rumah mengeluarkan uap setelah badai besar?
229,ENTY,religion,What Caribbean cult did Marcus Garvey originate ?,Dari sekte Karibia apa Marcus Garvey berasal?
230,NUM,speed,How fast does the fastest car go ?,Seberapa cepat mobil tercepat pergi?
231,NUM,speed,How fast must a spacecraft travel to escape Earth 's gravity ?,Seberapa cepat sebuah pesawat ruang angkasa harus melakukan perjalanan untuk menghindari gravitasi Bumi?
232,ENTY,sport,What was the name of the ball game played by the mayans ?,Apa nama permainan bola yang dimainkan oleh mayan?
233,ENTY,sport,What type of exercise burns the most calories ?,Jenis olahraga apa yang paling banyak membakar kalori?
234,ENTY,sport,What sport do the Cleaveland Cavaliers play ?,Olahraga apa yang dimainkan oleh Cleaveland Cavaliers?
235,ENTY,sport,What international sport was originally called hurley ?,Olahraga internasional apa yang awalnya disebut hurley?
236,LOC,state,What state has the longest Great Lakes shoreline ?,Negara bagian mana yang memiliki garis pantai Great Lakes terpanjang?
237,LOC,state,What state is John F. Kennedy buried in ?,Di negara bagian mana John F. Kennedy dimakamkan?
238,LOC,state,What U.S. state is Fort Knox in ?,Di negara bagian mana Fort Knox berada?
239,ENTY,substance,What are the chemicals used in glowsticks ?,Apa bahan kimia yang digunakan dalam glowsticks?
240,ENTY,substance,What is money made of ?,Terbuat dari apa uang itu?
241,ENTY,substance,What is the main ingredient of yogurt ?,Apa bahan utama yogurt?
242,ENTY,substance,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?","Elemen apa, dari Tabel Periodik, yang merupakan gas atau benda padat, tetapi tidak pernah berbentuk cair?"
243,ENTY,symbol,What are the signs of a country going into a recession ?,Apa saja tanda-tanda suatu negara akan mengalami resesi?
244,ENTY,symbol,What sign is the best love match for a horoscope sign ?,Tanda apa yang paling cocok untuk tanda horoskop?
