coarse,fine,english,indo
ENTY,body,Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?,Kaki mana yang digunakan kucing untuk bergerak dengan kaki depan kirinya saat berjalan - kaki belakang kiri atau kanan belakangnya?
LOC,city,McCarren Airport is located in what city ?,Bandara McCarren terletak di kota apa?
LOC,city,What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,Apa ibu kota dari dua negara besar yang menempati semenanjung Iberia di Eropa?
LOC,city,What city was Martin Luther King Jr. assassinated in ?,Di kota mana Martin Luther King Jr dibunuh?
LOC,city,What 's the capital of Monaco ?,Apa ibukota Monako?
LOC,city,What city was Bobby Kennedy assassinated in ?,Di kota mana Bobby Kennedy dibunuh?
LOC,city,Which city in China has the largest number of foreign financial companies ?,Kota mana di Cina yang memiliki jumlah perusahaan keuangan asing terbesar?
NUM,code,What phone number can I call to have a tree planted ?,Nomor telepon apa yang dapat saya hubungi untuk menanam pohon?
NUM,code,What is Columbia Tristar 's phone number ?,Berapa nomor telepon Columbia Tristar?
ENTY,color,What color were Ernest Hemingway 's eyes ?,Apa warna mata Ernest Hemingway?
ENTY,color,What is the predominant color of the Tab label ?,Apa warna dominan dari label Tab?
ENTY,color,What color is an Arctic fox in winter ?,Apa warna rubah Kutub Utara di musim dingin?
ENTY,color,What color is Mr. Spock 's blood ?,Apa warna darah Tn. Spock?
NUM,count,How many miles is it to Ohio from North Carolina ?,Berapa mil ke Ohio dari North Carolina?
NUM,count,How many hands does Bjorn Borg use when hitting his forehand ?,Berapa banyak tangan yang digunakan Bjorn Borg ketika mengenai pukulan forehandnya?
NUM,count,How many consecutive baseball games did Lou Gehrig play ?,Berapa banyak pertandingan baseball berturut-turut yang dimainkan Lou Gehrig?
NUM,count,How many stars are there on the Soviet Union 's flag ?,Berapa banyak bintang yang ada di bendera Uni Soviet?
NUM,count,How many minutes were there on the original GE College Bowl clock ?,Berapa menit ada di jam GE College Bowl asli?
NUM,count,What is the chromosome number of an elephant ?,Berapa jumlah kromosom gajah?
NUM,count,How many corners does a spritsail have ?,Berapa banyak sudut yang dimiliki spritsail?
NUM,count,How many years did it take James Joyce to write Ulysses ?,Berapa tahun yang dibutuhkan James Joyce untuk menulis Ulysses?
NUM,count,How many stars are there in Big Dipper ?,Berapa banyak bintang di Big Dipper?
NUM,count,"How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?","Berapa megawatt yang akan dihasilkan oleh proyek pembangkit listrik di Indonesia, yang dibangun oleh sebuah konsorsium yang dipimpin oleh Mission Energy AS?"
NUM,count,How many varieties of apple are there ?,Ada berapa varietas apel?
NUM,count,How many astronauts have been on the moon ?,Berapa banyak astronot di bulan?
NUM,count,"How many miles is it from London , England to Plymouth , England ?","Berapa mil dari London, Inggris ke Plymouth, Inggris?"
NUM,count,How many grooves are on a dime ?,Berapa banyak alur yang ada dalam sepeser pun?
NUM,count,How many counties are in Indiana ?,Berapa banyak kabupaten di Indiana?
NUM,count,How many years do fossils take to form ?,Berapa tahun fosil terbentuk?
NUM,count,Approximately how many students are enrolled at the University of Massachusetts ?,Kira-kira berapa banyak siswa yang terdaftar di University of Massachusetts?
LOC,country,What country did the ancient Romans refer to as Hibernia ?,Negara apa yang disebut orang Romawi kuno sebagai Hibernia?
LOC,country,What is a country that starts with the letter x ?,Apa negara yang dimulai dengan huruf x?
LOC,country,Which Latin American country is the largest ?,Negara Amerika Latin manakah yang terbesar?
LOC,country,"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?","Negara mana yang pertama kali menggunakan pesawat terbang sebagai senjata perang, melawan Turki di Libya?"
LOC,country,What country was Sir Edmund Hillary born in ?,Di negara mana Sir Edmund Hillary dilahirkan?
LOC,country,What two countries ' coastlines border the Bay of Biscay ?,Apa garis pantai kedua negara yang membatasi Teluk Biscay?
LOC,country,What country received all the Nobel Prizes awarded in 1976 ?,Negara apa yang menerima semua Hadiah Nobel yang diberikan pada tahun 1976?
ENTY,cremat,What was the name of that popular song the Creeps sang ?,Apa nama lagu populer yang dinyanyikan Creeps?
ENTY,cremat,What Nevil Shute novel is about the doomed survivors of a nuclear war ?,Apa novel Nevil Shute tentang korban selamat dari perang nuklir?
ENTY,cremat,What is the first book of the Old Testament ?,Apakah buku pertama Perjanjian Lama?
ENTY,cremat,What was Mel Gibson 's first movie ?,Apa film pertama Mel Gibson?
ENTY,cremat,What Homerian epic chronicles events toward the end of the Trojan Wars ?,Apa peristiwa kronik epik Homerian menjelang akhir Perang Troya?
ENTY,cremat,What is the name of Jamiroquai new album ?,Apa nama album baru Jamiroquai?
ENTY,cremat,What TV series features the adventures of a married couple named Jonathan and Jennifer ?,Serial TV apa yang menceritakan petualangan pasangan menikah bernama Jonathan dan Jennifer?
ENTY,currency,What type of currency is used in China ?,Jenis mata uang apa yang digunakan di Tiongkok?
NUM,date,When did the last Americans leave Vietnam ?,Kapan orang Amerika terakhir meninggalkan Vietnam?
NUM,date,What day of the week sees the most fatal car accidents ?,Hari apa dalam seminggu menyaksikan kecelakaan mobil paling fatal?
NUM,date,What year was the setting for American Graffiti ?,Tahun berapa pengaturan untuk Graffiti Amerika?
NUM,date,When did Hitler come to power in Germany ?,Kapan Hitler berkuasa di Jerman?
NUM,date,When was the first steel mill in the United States built ?,Kapan pabrik baja pertama di Amerika Serikat dibangun?
NUM,date,When was Microsoft established ?,Kapan Microsoft didirikan?
NUM,date,When is Bastille Day ?,Kapan Hari Bastille?
NUM,date,What year did Rossetti paint  Beata Beatrix  ?,Tahun berapa Rossetti melukis Beata Beatrix?
NUM,date,When was Calypso music invented ?,Kapan musik Calypso ditemukan?
NUM,date,"When did President Kennedy , Lee Harvey Oswald , and Jack Ruby all die ?","Kapan Presiden Kennedy, Lee Harvey Oswald, dan Jack Ruby semua mati?"
DESC,def,What is the definition of ` graphic details ' ?,Apa definisi `detail grafis '?
DESC,def,What is thalassemia ?,Apa itu talasemia?
DESC,def,What is a pyrotechnic display ?,Apa itu tampilan piroteknik?
DESC,def,What does  Semper Fidelis  mean ?,Apa yang dimaksud dengan Sempre Fidelis?
DESC,def,What is Java ?,Apa itu Jawa ?
DESC,def,What is commonly considered the fifth sense ?,Apa yang biasanya dianggap sebagai indra kelima?
DESC,def,What category does the color pink denote in the Trivial Pursuit Baby Boomer Edition ?,Kategori apa yang ditunjukkan oleh warna merah muda dalam Trivial Pursuit Baby Boomer Edition?
DESC,def,What is titanium ?,Apa itu titanium?
DESC,def,What does e=mc2 mean ?,Apa yang dimaksud dengan e = mc2?
DESC,def,What 's the meaning of the zoological term ruminant ?,Apa arti dari istilah zoologi ruminansia?
DESC,def,What is June 's birthstone ?,Apa itu batu kelahiran Juni?
DESC,desc,What do you do when your mouse is n't working as fast as it 's supposed to ?,Apa yang Anda lakukan saat mouse Anda tidak berfungsi secepat yang seharusnya?
DESC,desc,What is the origin of the name ` Scarlett ' ?,Apa asal usul nama `Scarlett '?
DESC,desc,What happened in the Long March ?,Apa yang terjadi di Long March?
DESC,desc,What is the difference between jazz and blues ?,Apa perbedaan antara jazz dan blues?
DESC,desc,"What are some fun things to do in Cozumel , Mexico for teenagers ?","Apa saja hal menyenangkan yang bisa dilakukan di Cozumel, Meksiko untuk remaja?"
DESC,desc,What is the difference between Neoclassical art and Romanticism art ?,Apa perbedaan antara seni Neoklasik dan seni Romantisisme?
DESC,desc,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?","Apa yang harus saya lakukan untuk membawa anjing saya tinggal di Dominika, Hindia Barat selama setahun?"
DESC,desc,What effects do nitrates have on the environment ?,Apa efek nitrat terhadap lingkungan?
DESC,desc,"What is the origin of the midwest slang , ` you 're darn tootin ' ?","Apa asal usul bahasa gaul midwest, `you are darn tootin '?"
DESC,desc,What is the daily requirement of folic acid for an expectant mother ?,Berapa kebutuhan asam folat harian untuk ibu hamil?
DESC,desc,What does an emperor do ?,Apa yang dilakukan seorang kaisar?
HUM,desc,What information can you tell me about actor James Cromwell ?,Informasi apa yang bisa Anda ceritakan tentang aktor James Cromwell?
HUM,desc,Who is Charles Lindbergh ?,Siapakah Charles Lindbergh?
HUM,desc,Who was William Henry Harrison ?,Siapakah William Henry Harrison?
HUM,desc,Who is Samuel Pickering ?,Siapakah Samuel Pickering?
ENTY,dismed,"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?","Anestesi apa yang diperbolehkan oleh Ratu Victoria untuk kelahiran anak ketujuh, pada tahun 1853?"
ENTY,dismed,Which infectious disease is the world 's deadliest ?,Penyakit menular manakah yang paling mematikan di dunia?
ENTY,dismed,What is the medical term for cancer of the blood ?,Apa istilah medis untuk kanker darah?
ENTY,dismed,What is the fear of cockroaches called ?,Apa yang disebut takut dengan kecoak?
ENTY,dismed,What is chronic constipation a symptom of ?,Apa itu gejala sembelit kronis?
ENTY,dismed,What is a fear of failure ?,Apa itu ketakutan akan kegagalan?
NUM,dist,What is the world record for the longest hair ?,Apa rekor dunia untuk rambut terpanjang?
NUM,dist,How far can you see ?,Seberapa jauh Anda bisa melihat?
NUM,dist,What is the wingspan of a condor ?,Berapa lebar sayap condor?
ENTY,event,What was Franklin Roosevelt 's program for economic recovery called during the Great Depression ?,Apa yang disebut program Franklin Roosevelt untuk pemulihan ekonomi selama Depresi Hebat?
ENTY,event,What is the name of the largest water conservancy project in China ?,Apa nama proyek pemeliharaan air terbesar di Cina?
ENTY,event,What was the name of Hitler 's unsuccessful attempt to overthrow the Bavarian government in Munich in 1923 ?,Apa nama usaha Hitler yang gagal untuk menggulingkan pemerintah Bavaria di Munich pada tahun 1923?
ENTY,event,What was the longest war in U.S. history ?,Apa perang terpanjang dalam sejarah AS?
ABBR,exp,What does NAFTA stand for ?,Apa kepanjangan dari NAFTA?
ABBR,exp,What does INRI stand for when used on Jesus ' cross ?,Apa arti INRI yang digunakan pada salib Yesus?
ENTY,food,What 's the traditional drink at the Kentucky Derby ?,Apa minuman tradisional di Kentucky Derby?
ENTY,food,What beer 's name is translated as  lion brew  ?,Apa nama bir yang diterjemahkan sebagai minuman singa?
ENTY,food,What type of food makes you fat ?,Jenis makanan apa yang membuat Anda gemuk?
ENTY,food,What was the first ready-to-eat breakfast cereal ?,Apa sereal sarapan siap saji pertama?
ENTY,food,What foods contain the most protein ?,Makanan apa yang mengandung protein terbanyak?
ENTY,food,What kind of meat is Fray Bentos synonymous with ?,Daging jenis apa yang identik dengan Fray Bentos?
HUM,gr,Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,Siapakah suku nomad yang berburu dan mengumpulkan suku Gurun Kalahari di Afrika?
HUM,gr,What was the previous name for the Commonwealth ?,Apa nama sebelumnya untuk Persemakmuran?
HUM,gr,What major airline has the best safety record in the world ?,Apa maskapai besar yang memiliki catatan keselamatan terbaik di dunia?
HUM,gr,Which company created the Internet browser Mosaic ?,Perusahaan mana yang membuat browser Internet Mosaic?
HUM,gr,What NFL team did Vince Lombardi end his coaching career with ?,Dengan tim NFL apa Vince Lombardi mengakhiri karier kepelatihannya?
HUM,gr,What is the best art and design school in the world ?,Apa sekolah seni dan desain terbaik di dunia?
HUM,gr,What school does Tom attend in Tom Brown 's School Days ?,Sekolah apa yang dihadiri Tom di Days School Tom Brown?
HUM,gr,What ISPs exist in the Caribbean ?,ISP apa yang ada di Karibia?
HUM,gr,"Who manufactures the software ,  PhotoShop  ?","Siapa yang memproduksi perangkat lunak, PhotoShop?"
HUM,ind,Who starred in Singing in the Rain and The Singing Nun ?,Siapa yang membintangi Singing in the Rain dan The Singing Nun?
HUM,ind,What was the name of Darth Vader 's son ?,Siapa nama putra Darth Vader?
HUM,ind,Which of the following people is not associated with Andy Warhol ?,Manakah dari orang-orang berikut yang tidak terkait dengan Andy Warhol?
HUM,ind,What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?,Apa nama panggilan dari selebaran terkenal yang keliru terbang ke Irlandia alih-alih ke Los Angeles?
HUM,ind,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,Siapa lelaki di belakang babi itu ??? lelaki yang menarik tali dan berbicara untuk Miss Piggy?
HUM,ind,Who seized power from Milton Obote in 1971 ?,Siapa yang merebut kekuasaan dari Milton Obote pada tahun 1971?
HUM,ind,What was the name of the first Russian astronaut to do a spacewalk ?,Apa nama astronot Rusia pertama yang melakukan spacewalk?
HUM,ind,Who was Charles Lindbergh 's wife ?,Siapa istri Charles Lindbergh?
HUM,ind,Who was the last U.S. president to reinstate Selective Service registration ?,Siapa presiden AS terakhir yang mengembalikan pendaftaran Layanan Selektif?
HUM,ind,What cheery fellow got the ZIP code 9971 from the U.S. Postal Service in 1963 ?,Rekan ceria apa yang mendapatkan kode ZIP 9971 dari Layanan Pos AS pada tahun 1963?
HUM,ind,What famous comedian recently tried without success to revive the play ?,Komedian terkenal apa yang baru-baru ini mencoba tanpa berhasil menghidupkan kembali permainan?
HUM,ind,What well-known TV talk show host was a lay preacher by the time he was seventeen ?,Pembawa acara bincang-bincang TV terkenal apa yang menjadi pengkhotbah awam pada saat ia berusia tujuh belas tahun?
HUM,ind,Who leads the star ship Enterprise in Star Trek ?,Siapa yang memimpin perusahaan kapal berbintang di Star Trek?
HUM,ind,What was Al Capone 's nickname ?,Apa nama panggilan Al Capone?
HUM,ind,Who invented the road traffic cone ?,Siapa yang menemukan kerucut lalu lintas jalan?
HUM,ind,Who won the Battle of Gettysburg ?,Siapa yang memenangkan Pertempuran Gettysburg?
HUM,ind,Who was the author of the book about computer hackers called  The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage  ?,Siapa penulis buku tentang peretas komputer bernama The Cuckoo's Egg: Melacak Mata-Mata Melalui Labirin Komputer Spionase?
HUM,ind,Who directed  Jaws  ?,Siapa yang mengarahkan Rahang?
HUM,ind,Who is behind the name of the Harvey Wallbanger drink ?,Siapa di balik nama minuman Harvey Wallbanger?
HUM,ind,Who is the Greek God of the Sea ?,Siapakah Dewa Laut Yunani?
HUM,ind,Who portrayed The Cowardly Lion in The Wizard of Oz ?,Siapa yang memerankan Si Pengecut di The Wizard of Oz?
HUM,ind,Who was the prophet of the Muslim people ?,Siapakah nabi orang-orang Muslim?
HUM,ind,Who was President of Afghanistan in 1994 ?,Siapakah Presiden Afghanistan pada tahun 1994?
HUM,ind,Who commanded the French forces at the Battle of Orleans ?,Siapa yang memimpin pasukan Prancis di Pertempuran Orleans?
HUM,ind,What athlete makes the most money from sports merchandise sales ?,Atlet apa yang menghasilkan uang paling banyak dari penjualan barang olahraga?
HUM,ind,"Who played for the Chicago Bears , Houston Oilers and Oakland Raiders in a 26-year pro football career ?","Siapa yang bermain untuk Chicago Bears, Houston Oilers, dan Oakland Raiders dalam karier sepakbola pro 26 tahun?"
HUM,ind,What is the name of the woman who was with John Belushi when he died ?,Apa nama wanita yang bersama John Belushi saat dia meninggal?
HUM,ind,"Whose funeral train traveled from Washington D.C. to Springfield , Illinois ?","Kereta pemakaman siapa yang bepergian dari Washington DC ke Springfield, Illinois?"
HUM,ind,Who followed Caesar ?,Siapa yang mengikuti Caesar?
HUM,ind,Who was the first coach of the Cleveland Browns ?,Siapa pelatih pertama dari Cleveland Browns?
ENTY,instru,What musical instrument did Sherlock Holmes play ?,Alat musik apa yang dimainkan Sherlock Holmes?
ENTY,lang,Which language has the most words ?,Bahasa mana yang memiliki kata paling banyak?
ENTY,lang,What is the only modern language that capitalizes its singular first-person pronoun ?,Apa satu-satunya bahasa modern yang menggunakan kata ganti orang pertama tunggal?
ENTY,letter,What 's the largest letter in Salvador Dali 's signature ?,Apa surat terbesar di tanda tangan Salvador Dali?
ENTY,letter,What vowel do all Esperanto nouns end in ?,Vokal apa yang dilakukan oleh semua nomina Esperanto?
DESC,manner,How do you tell your parents you are dating an older man ?,Bagaimana Anda memberi tahu orang tua bahwa Anda berkencan dengan pria yang lebih tua?
DESC,manner,How do you address a Chinese person ?,Bagaimana Anda berbicara dengan orang Cina?
DESC,manner,How do you become a dentist ?,Bagaimana Anda menjadi dokter gigi?
DESC,manner,How did the jack-o '-lantern get it 's name ?,Bagaimana jack-o '-lantern mendapatkan nama itu?
DESC,manner,How do you write MLA style bibliographies for an Internet source ?,Bagaimana Anda menulis bibliografi gaya MLA untuk sumber Internet?
DESC,manner,How do you find oxidation numbers ?,Bagaimana Anda menemukan bilangan oksidasi?
DESC,manner,How do I change a file from an ART file to a JPEG or Bitmap file ?,Bagaimana cara mengubah file dari file ART ke file JPEG atau Bitmap?
DESC,manner,How do chickens have baby chicks ?,Bagaimana ayam memiliki anak ayam?
DESC,manner,How do they raise the cranes when building high-rise buildings ?,Bagaimana mereka mengangkat crane ketika membangun gedung-gedung bertingkat tinggi?
DESC,manner,How do I sing like Elvis Presley ?,Bagaimana cara saya bernyanyi seperti Elvis Presley?
DESC,manner,How do you determine if a computer monitor has an SVGA adapter ?,Bagaimana Anda menentukan apakah monitor komputer memiliki adaptor SVGA?
NUM,money,How much money does each player get at the beginning of the game in Monopoly ?,Berapa banyak uang yang didapat setiap pemain di awal permainan di Monopoli?
NUM,money,What is the exchange rate between England and the U.S. ?,Berapa nilai tukar antara Inggris dan AS?
NUM,money,How much money did the Marcos steal from their country ?,Berapa banyak uang yang dicuri Marcos dari negara mereka?
NUM,money,How much money does a back injury lawsuit get ?,Berapa banyak uang yang didapat dari gugatan cedera punggung?
NUM,money,How much does one ton of cement cost ?,Berapa biaya satu ton semen?
LOC,mount,Where do people mountain climb in Nepal ?,Di mana orang-orang mendaki gunung di Nepal?
LOC,mount,What mountain range is traversed by the highest railroad in the world ?,Pegunungan apa yang dilalui oleh jalur kereta api tertinggi di dunia?
LOC,mount,What mountain range marks the border of France and Spain ?,Pegunungan apa yang menandai perbatasan Prancis dan Spanyol?
NUM,ord,What chapter of the Bible has the most verses ?,Surat berapa pada alkitab yang memiliki ayat terbanyak?
ENTY,other,What 's the second-most-used murder weapon in the U.S. ?,Apa senjata pembunuhan paling banyak digunakan di AS?
ENTY,other,What does a spermologer collect ?,Apa yang dikumpulkan oleh seorang spermologer?
ENTY,other,Name of King Arthur 's sword ?,Nama pedang Raja Arthur?
ENTY,other,What scale measures earthquakes ?,Skala apa yang mengukur gempa bumi?
ENTY,other,What is Bella Abzug 's sartorial trademark ?,Apa merek dagang busana Bella Abzug?
ENTY,other,"What is it that walks on four legs , then on two legs , then on three ?","Apa yang berjalan dengan empat kaki, lalu dengan dua kaki, lalu dengan tiga kaki?"
ENTY,other,What is widely used to detect birth defects ?,Apa yang banyak digunakan untuk mendeteksi cacat lahir?
LOC,other,What island group is Guadalcanal a part of ?,Kelompok pulau apa yang merupakan bagian dari Guadalkanal?
LOC,other,What are some good fractal web sites ?,Apa sajakah situs web fraktal yang bagus?
LOC,other,Where do hyenas live ?,Di mana hyena tinggal?
LOC,other,Where is the Kalahari desert ?,Di mana gurun Kalahari?
LOC,other,What is the largest lake in North America ?,Apa danau terbesar di Amerika Utara?
LOC,other,What are the names of the tourist attractions in Reims ?,Apa nama tempat wisata di Reims?
LOC,other,Where 's the Petrified Forest ?,Di mana Hutan yang Membatu?
LOC,other,Where could I go to take a ride on a steam locomotive ?,Di mana saya bisa pergi naik lokomotif uap?
LOC,other,Where is the Rose Bowl played ?,Di mana Rose Bowl dimainkan?
LOC,other,Where are the Haversian canals ?,Di mana kanal Haversian?
LOC,other,What are the largest libraries in the US ?,Apa perpustakaan terbesar di AS?
LOC,other,Where is the bridge over the river Kwai ?,Di mana jembatan di atas sungai Kwai?
LOC,other,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,Di mana saya dapat menemukan informasi tentang orang-orang Indian Narragansett dan suku-suku lain di Rhode Island?
LOC,other,Where is the Isle of Man ?,Di mana Isle of Man?
LOC,other,What are some mythology websites ?,Apa sajakah situs web mitologi?
LOC,other,Where was George Washington born ?,Di mana George Washington lahir?
LOC,other,In what area of the world was the Six Day War fought ?,Di wilayah dunia manakah Perang Enam Hari itu berlangsung?
LOC,other,Where are the tropical rain forest distributions ?,Di mana distribusi hutan hujan tropis?
LOC,other,Where is Santa Lucia ?,Di mana Santa Lucia?
LOC,other,What sea did the Romans call mare nostrum ?,Laut apa yang disebut orang Romawi mare nostrum?
LOC,other,Where did the myth of Santa Claus originate ?,Dari mana mitos Santa Claus itu berasal?
NUM,other,What was the number of people that Randy Steven Craft was convicted of killing ?,Berapa jumlah orang yang dinyatakan bersalah membunuh Randy Steven Craft?
NUM,other,What 's a perfect score in a gymnastics exercise ?,Apa nilai sempurna dalam latihan senam?
NUM,other,What amount of folic acid should an expectant mother take daily ?,Berapa jumlah asam folat yang harus dikonsumsi seorang ibu hamil setiap hari?
NUM,perc,What percent of world 's fresh water is found in Canada ?,Berapa persen air tawar dunia ditemukan di Kanada?
NUM,perc,What percentage of the silver production is done by independent silversmiths ?,Berapa persentase produksi perak yang dilakukan oleh pengrajin perak independen?
NUM,perc,What is the current unemployment rate in the U.S. ?,Berapa tingkat pengangguran saat ini di AS?
NUM,period,How long was the longest hiccup attack ?,Berapa lama serangan cegukan terpanjang?
NUM,period,What is the recomended age to switch a child from a crib to a bed ?,Berapa usia yang direkomendasikan untuk mengganti anak dari buaian ke tempat tidur?
NUM,period,How long does it take different materials to decompose ?,Berapa lama dibutuhkan bahan yang berbeda untuk terurai?
NUM,period,How long does cocaine stay in your system ?,Berapa lama kokain bertahan dalam sistem Anda?
ENTY,plant,What kind of tree graces Lebanon 's flag ?,Jenis pohon apa yang menghiasi bendera Libanon?
ENTY,plant,What plant has the largest seed ?,Tanaman apa yang memiliki biji terbesar?
ENTY,product,What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,Merek jeans apa yang Calvin Klein akui dalam sebuah wawancara tahun 1984 yang dia rasa lebih nyaman dipakai?
ENTY,product,What operating system do IBM-compatible machines use ?,Sistem operasi apa yang digunakan oleh mesin yang kompatibel dengan IBM?
ENTY,product,What product did William Horlick discover and produce ?,Produk apa yang ditemukan dan diproduksi William Horlick?
ENTY,product,What is the best selling computer model ever ?,Apa model komputer terlaris yang pernah ada?
DESC,reason,What is the function of the appendix ?,Apa fungsi dari lampiran?
DESC,reason,What causes rust ?,Apa yang menyebabkan karat?
DESC,reason,What causes asthma ?,Apa yang menyebabkan asma?
DESC,reason,What causes an earthquake ?,Apa yang menyebabkan gempa bumi?
DESC,reason,Why is Chicago named Chicago ?,Mengapa Chicago bernama Chicago?
DESC,reason,What is the purpose of the SysRq key on my computer keyboard ?,Apa tujuan dari tombol SysRq pada keyboard komputer saya?
DESC,reason,What makes a tornado turn ?,Apa yang membuat tornado berputar?
DESC,reason,What problems contributed to the high failure rate of Plains farmers in the 1800s ?,Masalah apa yang menyebabkan tingginya tingkat kegagalan petani Plains di tahun 1800-an?
DESC,reason,Why do some clothing labels say  Use a nonchlorine bleach  ?,Mengapa beberapa label pakaian mengatakan Gunakan pemutih nonklorin?
DESC,reason,Why does it snow ?,Mengapa salju turun?
DESC,reason,Why do rooftops give off steam after a big rainstorm ?,Mengapa atap rumah mengeluarkan uap setelah badai besar?
ENTY,religion,What Caribbean cult did Marcus Garvey originate ?,Dari sekte Karibia apa Marcus Garvey berasal?
NUM,speed,How fast does the fastest car go ?,Seberapa cepat mobil tercepat pergi?
NUM,speed,How fast must a spacecraft travel to escape Earth 's gravity ?,Seberapa cepat sebuah pesawat ruang angkasa harus melakukan perjalanan untuk menghindari gravitasi Bumi?
ENTY,sport,What was the name of the ball game played by the mayans ?,Apa nama permainan bola yang dimainkan oleh mayan?
ENTY,sport,What type of exercise burns the most calories ?,Jenis olahraga apa yang paling banyak membakar kalori?
ENTY,sport,What sport do the Cleaveland Cavaliers play ?,Olahraga apa yang dimainkan oleh Cleaveland Cavaliers?
ENTY,sport,What international sport was originally called hurley ?,Olahraga internasional apa yang awalnya disebut hurley?
LOC,state,What state has the longest Great Lakes shoreline ?,Negara bagian mana yang memiliki garis pantai Great Lakes terpanjang?
LOC,state,What state is John F. Kennedy buried in ?,Di negara bagian mana John F. Kennedy dimakamkan?
LOC,state,What U.S. state is Fort Knox in ?,Di negara bagian mana Fort Knox berada?
ENTY,substance,What are the chemicals used in glowsticks ?,Apa bahan kimia yang digunakan dalam glowsticks?
ENTY,substance,What is money made of ?,Terbuat dari apa uang itu?
ENTY,substance,What is the main ingredient of yogurt ?,Apa bahan utama yogurt?
ENTY,substance,"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?","Elemen apa, dari Tabel Periodik, yang merupakan gas atau benda padat, tetapi tidak pernah berbentuk cair?"
ENTY,symbol,What are the signs of a country going into a recession ?,Apa saja tanda-tanda suatu negara akan mengalami resesi?
ENTY,symbol,What sign is the best love match for a horoscope sign ?,Tanda apa yang paling cocok untuk tanda horoskop?
ENTY,techmeth,What are some ways to help someone with Chicken Pox ?,Apa sajakah cara untuk membantu seseorang dengan Cacar Air?
ENTY,techmeth,"What are the 7 principles of learning from the Institute for Research on Learning , IRL ?","Apa saja 7 prinsip pembelajaran dari Institute for Research on Learning, IRL?"
ENTY,techmeth,What are the best ways to improve employee morale at low cost ?,Apa cara terbaik untuk meningkatkan moral karyawan dengan biaya rendah?
NUM,temp,What should the temperature be set at while baking Peachy Oat Muffins ?,Berapa suhu yang harus diatur saat memanggang Peachy Oat Muffins?
ENTY,termeq,What is a synonym for aspartame ?,Apa itu sinonim untuk aspartame?
ENTY,termeq,What does El Nino mean in spanish ?,Apa arti El Nino dalam bahasa Spanyol?
ENTY,termeq,What do the Japanese call Japan ?,Bagaimana cara orang Jepang menyebut Jepang?
HUM,title,What title did Shevardnadze have during the Soviet era ?,Gelar apa yang dimiliki Shevardnadze selama era Soviet?
HUM,title,What task does the Bouvier breed of dog perform ?,Apa tugas yang dilakukan anjing jenis Bouvier?
HUM,title,What occupation has the highest divorce rate ?,Pekerjaan apa yang memiliki tingkat perceraian tertinggi?
ENTY,veh,Which type of submarine was bought recently by South Korea ?,Jenis kapal selam apa yang dibeli baru-baru ini oleh Korea Selatan?
ENTY,veh,On which flight did Fawaz Younis commit air piracy and hostage taking ?,Di penerbangan mana Fawaz Younis melakukan pembajakan udara dan penyanderaan?
NUM,volsize,How big is the Electoral College ?,Seberapa besar Electoral College?
NUM,volsize,How big is our galaxy in diameter ?,Seberapa besar diameter galaksi kita?
NUM,weight,What does a teaspoon of matter weigh in a black hole ?,Berapa berat satu sendok teh materi di dalam lubang hitam?
NUM,weight,What is the weight of air ?,Berapa berat udara?
ENTY,word,What is the longest English word that can be formed using just the first row of letters on a typewriter ?,Apa kata bahasa Inggris terpanjang yang dapat dibentuk hanya dengan menggunakan baris pertama huruf pada mesin tik?
ENTY,word,What is the most famous German word in the English language ?,Apa kata Jerman paling terkenal dalam bahasa Inggris?
ENTY,word,"What word occurs 46 , 227 times in the Bible ?","Kata apa yang muncul 46, 227 kali dalam Alkitab?"
ABBR,abb,What is the abbreviation of General Motors ?,Apa singkatan dari General Motors?
ABBR,abb,What 's the abbreviation for limited partnership ?,Apa singkatan untuk kemitraan terbatas?
ENTY,animal,What animal has the best hearing ?,Hewan apa yang memiliki pendengaran terbaik?
ENTY,animal,What animal has killed the most people ?,Hewan apa yang paling banyak membunuh orang?
ENTY,animal,What racehorse won an Associated Press poll as the greatest horse of the 20th century ?,Kuda pacuan apa yang memenangkan jajak pendapat Associated Press sebagai kuda terbesar abad ke-20?
ENTY,animal,What is Dudley Do-Right 's horse 's name ?,Siapa nama kuda Dudley Do-Right?
ENTY,animal,"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",Hewan apa yang menerima persetujuan kerajaan sebagai lambang Kanada pada 24 Maret 1975?
ENTY,body,What is the softest part of the body ?,Apa bagian terlembut dari tubuh?
